,date,cm_C,cm_P,nm_C,nm_P,cq_C,cq_P,nq_C,nq_P,etf变动,etf绝对值
0,1/3/2017,-0.686198925,-0.690565308,-0.685148122,-0.65814745,-0.120230288,-0.596362413,-0.578194355,-0.061859348,0,0
1,1/4/2017,-0.877668758,-0.829601478,-0.451700089,-0.489896027,-0.410758546,-0.429041794,-0.425036274,-0.403261797,0.007804032,0.007804032
2,1/5/2017,-0.362182592,-0.249238719,0.118519328,0.140946445,0.073287206,0.089414077,-0.063867522,-0.073448966,-0.0012906,0.0012906
3,1/6/2017,0.483608136,0.427957669,0.708292271,0.697018919,0.094015796,0.273253123,-0.583647872,-0.626368054,-0.003446048,0.003446048
4,1/9/2017,-0.708072393,-0.701749439,-0.184334558,-0.377477421,-0.531615042,-0.50410841,-0.664053004,-0.67806168,0.002593473,0.002593473
5,1/10/2017,0.071453198,-0.050853202,0.002452465,0.004111525,0.026180843,-0.059772694,0.035386021,-0.031649073,-0.003017892,0.003017892
6,1/11/2017,0.208481791,0.245654438,0.453782664,0.557248542,0.626447042,0.675491123,0.721916027,0.698765736,-0.003891892,0.003891892
7,1/12/2017,0.611971972,0.547619059,0.692459994,0.831192764,0.751095062,0.693050553,0.694874371,0.598309041,-0.003472976,0.003472976
8,1/13/2017,-0.643288299,-0.715138059,-0.520856042,-0.54524541,-0.341008306,-0.175831678,-0.793485147,-0.766585062,0.006534524,0.006534524
9,1/16/2017,-0.422384054,-0.080232764,-0.25361467,-0.254975828,0.167494157,0.044934695,0.337663057,0.292087991,0.012118589,0.012118589
10,1/17/2017,-0.502105227,-0.460331263,-0.46769146,-0.472174453,-0.495203956,-0.493979289,-0.322035421,-0.39237661,-0.004276245,0.004276245
11,1/18/2017,0.022990311,-0.112992904,-0.444593301,-0.287422062,-0.740096358,-0.697461446,-0.599298914,-0.648964513,0.006871376,0.006871376
12,1/19/2017,0.79291927,0.749264448,0.423557819,0.456920854,0.794059113,0.743572825,0.52255511,0.365637312,-0.004265302,0.004265302
13,1/20/2017,-0.783199696,-0.768303555,-0.742169011,-0.767906322,-0.429629207,-0.549446487,0.525006032,0.514753921,0.006425359,0.006425359
14,1/23/2017,0.452231164,0.59393217,0.874487302,0.767303035,0.629384277,0.459960901,0.789683218,0.754703538,-0.000425622,0.000425622
15,1/24/2017,-0.785020353,-0.784304026,-0.589788483,-0.701438247,-0.798680773,-0.797780098,-0.721369691,-0.777272482,0.002129019,0.002129019
16,1/25/2017,-0.009618003,0.033202082,-0.840011421,-0.788945894,-0.613367207,-0.714263742,-0.851106477,-0.820448676,0.006330996,0.006330996
17,1/26/2017,-0.501699252,-0.260766762,-0.196974543,-0.185319481,-0.429882559,-0.466217761,-0.2366748,-0.169869444,-0.000802229,0.000802229
18,2/3/2017,0.640621171,0.657453894,0.722441537,0.717602444,0.688063636,0.742531823,0.012897871,-0.085736278,-0.010564124,0.010564124
19,2/6/2017,0.20236956,0.191007054,0.566769884,0.587966167,0.595070713,0.635914346,0.651509029,0.686989764,0.000427077,0.000427077
20,2/7/2017,0.235954487,0.142856106,0.065134388,-0.319967284,0.783493307,0.785704367,0.808418337,0.77148735,-0.00298826,0.00298826
21,2/8/2017,-0.521266512,-0.511663443,0.572518668,0.538487842,0.250241522,0.195781619,0.096178294,0.049317413,0.00556626,0.00556626
22,2/9/2017,-0.473230884,-0.345783959,-0.304878119,-0.248805411,0.491353581,0.576383084,0.751695569,0.829178196,0.002554822,0.002554822
23,2/10/2017,0.329394709,0.325246601,0.610679856,0.771145788,0.056712691,-0.201056239,0.441653736,0.691405798,0.005096623,0.005096623
24,2/13/2017,-0.325531339,-0.16166838,-0.474644153,-0.573601504,-0.336348376,-0.2960674,-0.253261225,-0.256689566,0.004648215,0.004648215
25,2/14/2017,0.805880679,0.679554724,0.790682771,0.813604244,0.743723534,0.631030071,0.480821056,0.631395588,-0.003364879,0.003364879
26,2/15/2017,-0.116949226,-0.139986095,0.389024502,0.135190541,-0.304676806,-0.390348756,-0.064560214,-0.065319857,0,0
27,2/16/2017,0.320166175,0.078523609,0.203518114,0.259796779,-0.293495127,-0.341309189,0.010128198,-0.102625109,0.00126609,0.00126609
28,2/17/2017,0.782168548,0.875707995,-0.187276119,-0.495059631,-0.828319698,-0.794142054,-0.655690406,-0.652127078,-0.004636459,0.004636459
29,2/20/2017,-0.448334823,0.698544085,0.869596982,0.884914604,0.580182412,0.485739548,0.788096494,0.801491325,0.014397629,0.014397629
30,2/21/2017,0.596707061,0.620634404,0.87359022,0.86406253,-0.07951102,-0.379130552,-0.583665306,-0.532221461,-0.001252348,0.001252348
31,2/22/2017,0.076037953,0.088271188,0.482087353,0.428399386,-0.053826683,-0.212704511,-0.033976436,-0.054084887,0.001462905,0.001462905
32,2/23/2017,0.881832222,0.879087961,0.760123627,0.744810567,0.846970673,0.869990549,0.142890772,0.849998181,-0.003964942,0.003964942
33,2/24/2017,-0.046452876,-0.111602095,0.535860628,0.533680086,0.617229142,0.544266074,0.288864486,0.328958931,-0.000419024,0.000419024
34,2/27/2017,0.080947434,-0.229309717,-0.144255162,-0.255260325,0.269043312,0.201580314,0.871335774,0.827341513,-0.007545588,0.007545588
35,2/28/2017,0.17596205,0.07917695,-0.282922844,-0.596105903,-0.384328308,-0.276239047,-0.630316295,-0.630179399,0.000422386,0.000422386
36,3/1/2017,0.562079301,0.03499681,0.266406542,-0.128750555,0.645919028,0.604356921,-0.093904658,0.270832533,-0.000422208,0.000422208
37,3/2/2017,-0.761204018,-0.872316735,-0.694425655,-0.903608844,-0.729296329,-0.887440431,-0.758798166,-0.793518092,-0.005913411,0.005913411
38,3/3/2017,0.066378831,0.136953329,0.146855601,-0.04517156,-0.565255387,-0.451998946,-0.273349195,-0.25520212,-0.004248991,0.004248991
39,3/6/2017,-0.139431314,-0.175132318,0.120407406,0.088809474,0.2123402,0.440056221,0.118486954,-0.040199085,0.002133561,0.002133561
40,3/7/2017,0.659193337,0.667451567,0.62124535,0.594774304,-0.56248383,-0.122006306,-0.661683938,-0.757340861,0.002129019,0.002129019
41,3/8/2017,-0.587749391,-0.653755212,-0.453442105,-0.486697809,-0.612276349,-0.053572121,-0.591915659,-0.664247067,0.000849798,0.000849798
42,3/9/2017,-0.637736411,-0.720563043,-0.591634585,-0.587456101,0.029585328,0.163954697,-0.010499312,-0.20563786,-0.00509446,0.00509446
43,3/10/2017,0.735401097,0.655579879,0.637362308,0.560283613,0.470282408,0.701046137,0.682970337,0.577134283,-0.003413697,0.003413697
44,3/13/2017,-0.475042887,-0.397205937,-0.615596973,-0.554574271,-0.60589955,-0.461909171,0.100997254,-0.035056345,0.008563477,0.008563477
45,3/14/2017,-0.477512258,-0.304208035,-0.689563699,-0.705791472,0.773996031,0.727772289,0.587091518,0.239117244,-0.002122692,0.002122692
46,3/15/2017,0.275016014,0.178016018,0.238897713,0.234780983,0.399117142,0.429486166,0.212968486,0.223784205,0.001276324,0.001276324
47,3/16/2017,-0.173788473,0.389328567,0.754170308,0.738704236,0.779132232,0.710662466,0.749607549,0.747464405,0.006798385,0.006798385
48,3/17/2017,0.662113322,0.677803727,0.808160571,0.801049929,0.828482946,0.782270859,0.831091299,0.839231187,-0.011394809,0.011394809
49,3/20/2017,-0.394026807,-0.202299323,0.71403353,0.714947498,0.762016873,0.679198359,0.577151549,0.007233495,0.001707577,0.001707577
50,3/21/2017,0.098939533,-0.080553129,0.179689123,0.157655822,0.269966011,0.178468202,0.219908974,0.016616169,0.002983166,0.002983166
51,3/22/2017,-0.121697853,-0.169447203,0.062758521,0.083371762,0.082358221,0.063895681,0.085725758,0.082207221,-0.007648184,0.007648184
52,3/23/2017,-0.351457606,-0.219175704,-0.240796627,-0.297770918,0.395051429,0.214523432,0.388173039,0.507664728,0.003425391,0.003425391
53,3/24/2017,-0.268946899,-0.14929973,0.422123107,0.425086148,0.384865128,0.355606191,-0.483566284,-0.365964096,0.008960956,0.008960956
54,3/27/2017,-0.682820317,-0.719055401,-0.298184763,-0.30282408,0.20011911,0.270726018,-0.579737382,-0.659270483,-0.002114612,0.002114612
55,3/28/2017,-0.887956852,-0.844601733,-0.632637942,-0.683313404,-0.529130683,-0.545827676,-0.771490836,-0.71799953,-0.002542912,0.002542912
56,3/29/2017,-0.285692453,-0.235995161,-0.062332624,0.027044527,0.116025908,0.145223908,0.282369149,0.20105379,0,0
57,3/30/2017,-0.512576681,-0.30577027,-0.69938713,-0.753824231,-0.567432504,-0.655990796,-0.7127625,-0.673599841,-0.004248991,0.004248991
58,3/31/2017,-0.889441957,-0.87044129,-0.817153586,-0.801516019,-0.632942347,-0.485520254,0.791570284,0.796794968,0.005120546,0.005120546
59,4/5/2017,-0.258100851,0.740223926,-0.076301285,-0.489641002,-0.644316277,-0.634123176,-0.209702145,-0.6445162,0.011462534,0.011462534
60,4/6/2017,-0.517367007,-0.538235545,-0.729639689,-0.702469352,-0.768759739,-0.691107501,-0.317340334,-0.409045972,0.000839454,0.000839454
61,4/7/2017,-0.250583405,-0.477207381,0.635141663,0.622528903,0.357908796,0.425915032,-0.308139348,-0.316669496,-0.000419375,0.000419375
62,4/10/2017,0.721631715,0.721400384,0.277815039,0.353423086,0.462486537,0.16199838,0.768000603,0.094594156,-0.002517306,0.002517306
63,4/11/2017,-0.81075148,-0.620903628,0.541651027,0.480119829,0.84712302,0.685114642,0.619283025,0.63318024,0.00042061,0.00042061
64,4/12/2017,-0.069740904,0.357438601,0.036888904,0.023298993,0.332442266,0.248004784,0.123699634,0.084531309,-0.002102165,0.002102165
65,4/13/2017,0.133368285,0.172169891,0.431528453,0.403502975,0.437322684,0.272000898,-0.271664234,-0.102944089,-0.002949231,0.002949231
66,4/14/2017,-0.240692685,-0.085465752,-0.808855138,-0.718210873,-0.579204031,-0.48720938,-0.648023704,-0.355945617,-0.007183604,0.007183604
67,4/17/2017,-0.115083019,-0.122689016,-0.653909314,-0.728964081,-0.512258343,-0.526978775,0.121962912,-0.169485707,0.001276867,0.001276867
68,4/18/2017,-0.036510919,-0.035801651,-0.030522001,-0.031893608,0.025329916,0.016143581,-0.031143391,-0.005657277,-0.006376196,0.006376196
69,4/19/2017,-0.510267206,-0.535463634,-0.879456168,-0.896167771,-0.87258376,-0.899988164,-0.841837652,-0.861511122,-0.006631016,0.006631016
70,4/20/2017,-0.662216146,-0.406106101,-0.628323553,-0.627026747,-0.264844243,-0.493006852,-0.093028671,-0.401434308,0.004091301,0.004091301
71,4/21/2017,0.202281431,0.305415352,0.134765311,-0.019061761,0.098939535,-0.003677528,0.089611653,0.084343557,0.003860176,0.003860176
72,4/24/2017,-0.726524095,-0.738308499,-0.805277079,-0.819899651,-0.588915666,-0.617765929,-0.544218638,-0.588929544,-0.002349925,0.002349925
73,4/25/2017,-0.350108372,-0.808798275,-0.808557404,-0.774851825,-0.701130174,-0.646989341,-0.526055646,-0.617152077,0.002783726,0.002783726
74,4/26/2017,-0.659923826,-0.425881651,-0.514600564,-0.543756423,-0.116746587,-0.000524548,-0.482618166,-0.429074064,-0.00128123,0.00128123
75,4/27/2017,-0.956953995,-0.924311413,0.090481644,-0.102100088,-0.880889933,-0.420662086,-0.687606921,-0.592028943,0.002138123,0.002138123
76,4/28/2017,-0.745878592,-0.63972359,0.507319623,0.446396159,0.605767637,0.705032336,-0.005519387,0.052211381,-0.001706849,0.001706849
77,5/2/2017,0.342289135,0.040430748,0.587747148,0.562775979,0.791322159,0.764766116,0.667414741,0.098109677,-0.002992092,0.002992092
78,5/3/2017,-0.66633984,-0.553984432,-0.252668466,-0.451543917,0.541002643,0.5078134,0.775045251,0.757090484,-0.003429796,0.003429796
79,5/4/2017,-0.677043413,-0.724919029,-0.393128784,-0.563078101,-0.203483652,-0.290120443,-0.310541078,-0.290578034,-0.0025812,0.0025812
80,5/5/2017,-0.654745316,-0.744918154,-0.813632109,-0.805158852,-0.899968518,-0.918210507,-0.5353877,-0.753082752,-0.00258788,0.00258788
81,5/8/2017,-0.899093231,-0.804891985,-0.358295431,-0.636513245,-0.592066991,-0.654023519,-0.559611915,-0.630327426,0.002162162,0.002162162
82,5/9/2017,-0.719823356,-0.67701594,-0.772001468,-0.64771127,-0.307820784,-0.30809724,-0.202939326,-0.120294829,-0.000862999,0.000862999
83,5/10/2017,-0.721552128,-0.295832222,-0.262380524,-0.001382696,-0.267713972,-0.349757538,-0.419940698,-0.473040041,0.002159361,0.002159361
84,5/11/2017,-0.117481121,-0.059942061,-0.004749193,-0.026213179,0.002365533,0.064922963,-0.045737862,0.087794547,0.006033183,0.006033183
85,5/12/2017,-0.457562796,0.496833887,-0.394365547,-0.262751229,0.767519522,0.771076202,0.851180632,0.847389804,0.014992504,0.014992504
86,5/15/2017,0.073849193,0.079547329,-0.002907562,0.0209773,0.023520779,0.001747015,0.033869971,0.016228686,0.00168812,0.00168812
87,5/16/2017,0.278278726,-0.118962271,0.263755974,0.056329935,-0.402804939,-0.186195639,-0.476259676,-0.46740003,0.002106594,0.002106594
88,5/17/2017,-0.415801728,0.474008047,0.563749532,0.404104087,0.779534416,0.729289325,0.873722997,0.833650911,-0.008408661,0.008408661
89,5/18/2017,0.586048267,0.535093945,-0.259862899,-0.223298629,0.418168098,0.390537601,0.354941803,0.364195801,-0.004239983,0.004239983
90,5/19/2017,-0.058840683,-0.004587744,0.051347427,0.052501981,0.014568659,0.000517827,-0.02263475,0.001713296,0.002554822,0.002554822
91,5/22/2017,0.697822877,0.396177746,0.54715043,0.541271123,0.650102531,0.686773781,0.401501885,0.413396001,0.008069654,0.008069654
92,5/23/2017,0.373639353,0.769715561,0.824942126,0.895506716,0.856649055,0.847740803,0.808326021,0.763568563,0.013482199,0.013482199
93,5/24/2017,-0.101894101,0.077298377,-0.021074078,-0.025627222,-0.0512577,-0.046655221,-0.058674659,-0.055895955,-0.002494284,0.002494284
94,5/25/2017,0.926008967,0.974857223,0.956496087,0.961244828,0.970205087,0.966900052,0.952936857,0.935749747,0.029589498,0.029589498
95,5/26/2017,0.830381338,0.861838793,0.864515139,0.867361178,0.876860414,0.877383596,0.842946809,0.871615121,-0.002023882,0.002023882
96,5/31/2017,0.476990349,0.591627726,0.84763962,0.868114243,0.865485292,0.507334895,0.805414198,0.811263215,0.004055972,0.004055972
97,6/1/2017,-0.813854431,-0.796329805,0.056442077,0.482073122,0.231808484,0.357457807,0.631953898,0.81449921,0.006059382,0.006059382
98,6/2/2017,0.45132886,0.39068851,-0.404363731,-0.145873086,-0.088164156,-0.099133806,-0.142948994,-0.04973123,-0.008030516,0.008030516
99,6/5/2017,0.602686728,0.654783833,0.581647845,0.586460639,0.375189712,0.351141298,0.126138818,0.287424874,-0.012143291,0.012143291
100,6/6/2017,0.50518627,0.4206489,0.214938393,0.093350586,0.102323279,0.068024771,0.818287458,0.808513833,0.006965786,0.006965786
101,6/7/2017,0.442683436,0.591308743,0.420447631,0.460322439,0.619508655,0.612805169,0.335813922,0.345179407,0.009359105,0.009359105
102,6/8/2017,-0.43004345,-0.282691872,0.065474411,0.214109256,0.868882815,0.894478507,0.888006775,0.903164794,0.008466035,0.008466035
103,6/9/2017,0.695597084,0.735649444,0.763070733,0.708200721,0.730877605,0.752450147,0.464332289,0.51370735,0.005996402,0.005996402
104,6/12/2017,0.950201985,0.932706127,0.930871754,0.924600435,0.917332033,0.917850649,0.850599759,0.874635369,-0.000794755,0.000794755
105,6/13/2017,0.687253976,0.612477649,0.783011616,0.223651006,-0.05621029,-0.048349747,-0.295898218,-0.5322574,-0.000994233,0.000994233
106,6/14/2017,0.738833733,0.740531167,0.924697015,0.916555957,0.945259259,0.95404696,0.925412267,0.927526943,-0.011743631,0.011743631
107,6/15/2017,0.505250224,0.700951374,0.565169945,0.589164593,0.70105488,0.722181071,0.716300435,0.73321878,-0.007250755,0.007250755
108,6/16/2017,0.264044106,0.429584776,0.69408836,0.470116709,0.640613135,0.683042745,0.421980419,0.460356667,-0.00223169,0.00223169
109,6/19/2017,0.440201731,0.321776928,0.233369834,0.289876154,0.250118157,0.29264688,0.457850002,0.556332737,0.015656771,0.015656771
110,6/20/2017,-0.119719737,-0.493043232,0.221133555,0.056359133,-0.353443875,-0.380204118,-0.648703356,-0.629767582,-0.006206206,0.006206206
111,6/21/2017,-0.293271177,-0.422179516,0.003010711,-0.032702472,-0.150233685,-0.207011458,-0.190628385,-0.218360875,0.010676873,0.010676873
112,6/22/2017,0.886598191,0.916501495,0.854455704,0.840622253,0.093609396,0.883866909,0.683544709,0.901004734,0.005979669,0.005979669
113,6/23/2017,-0.144220183,0.690645975,0.734518048,0.715309884,0.530648685,0.594229529,0.760835353,0.740446372,0.00713295,0.00713295
114,6/26/2017,0.594929768,0.638222905,0.74490248,0.759093749,0.181373816,0.225646159,-0.38003482,-0.221535131,0.005508558,0.005508558
115,6/27/2017,-0.732596566,-0.636770918,-0.166903082,-0.127167767,0.526738197,0.511371095,-0.090685095,0.056048291,0.003130503,0.003130503
116,6/28/2017,0.174084005,-0.190280221,0.684569898,0.58497322,0.657996285,0.651296027,0.248578021,0.473359011,-0.006631558,0.006631558
117,6/29/2017,-0.013471654,0.143947955,-0.351477893,-0.395159123,0.432551777,0.372311147,-0.190655257,-0.092698982,0.006479482,0.006479482
118,6/30/2017,-0.351988321,0.095242676,-0.312584217,-0.43026246,-0.304933591,-0.355029282,-0.594540564,-0.519648563,-0.002536091,0.002536091
119,7/3/2017,0.717055253,0.811108199,0.823147317,0.808975923,0.464553351,0.48490813,0.450436634,0.425144939,-0.005867397,0.005867397
120,7/4/2017,0.769201666,0.736994148,0.769362376,0.802965496,0.767938695,0.77745829,0.723165043,0.786531253,-0.008656305,0.008656305
121,7/5/2017,0.936928639,0.931185051,0.958339567,0.968864893,0.955407751,0.96111424,0.94559461,0.939729092,0.017860687,0.017860687
122,7/6/2017,-0.237731138,-0.290269732,-0.128581758,-0.206426217,0.732679214,0.685598592,0.35889984,0.107780236,0.00038994,0.00038994
123,7/7/2017,0.093873247,0.059789763,0.076875363,0.072348374,-0.044476859,-0.082141089,-0.130801745,-0.076273766,-0.00155915,0.00155915
124,7/10/2017,-0.261045564,-0.445697966,0.270265566,0.368223823,0.487801397,0.559289903,0.481134874,0.683431493,0.005465548,0.005465548
125,7/11/2017,-0.84464658,-0.775210027,-0.380258623,-0.330058773,0.749425918,0.757684362,0.927954677,0.910374589,0.01125995,0.01125995
126,7/12/2017,-0.497790462,-0.30192901,-0.619602486,-0.617988464,-0.598691119,-0.562368779,0.690305661,0.776368777,-0.003071607,0.003071607
127,7/13/2017,0.474708837,0.657619367,0.331772071,0.457933584,0.532539967,0.555579363,0.681854356,0.695104532,0.015790487,0.015790487
128,7/14/2017,0.226040127,-0.059702308,0.729622775,0.701181868,0.50112366,0.458665629,0.638025689,0.577372616,0.010616114,0.010616114
129,7/17/2017,0.291925002,0.540374999,0.401538344,0.405942448,0.443157597,0.475995162,0.555104518,0.565989245,0.000750328,0.000750328
130,7/18/2017,0.41478361,0.502267241,0.626010008,0.63652796,0.36665115,0.410261763,0.098653566,0.098668399,-0.003748828,0.003748828
131,7/19/2017,-0.047502335,-0.109647019,-0.438135297,-0.332292317,0.809978282,0.838397042,0.79310005,0.781201146,0.016933208,0.016933208
132,7/20/2017,-0.213937666,-0.335481707,-0.533969539,-0.506867086,-0.414351198,-0.45470925,-0.368916721,-0.436382535,0.002960222,0.002960222
133,7/21/2017,0.843315487,0.738633609,0.755085041,0.773081948,0.660836683,0.641535112,0.507017677,0.540250104,-0.010883601,0.010883601
134,7/24/2017,0.127670352,-0.241457946,-0.237944294,-0.210471265,-0.326239907,-0.305531827,-0.421251543,-0.43878722,0.007273405,0.007273405
135,7/25/2017,0.67501122,0.524687662,0.797689836,0.769657049,0.799696118,0.814634504,0.6658089,0.7488452,-0.006665432,0.006665432
136,7/26/2017,-0.67982206,-0.649562072,0.105124369,0.042614273,0.700746401,0.682932459,0.8519828,0.867167063,-0.001491146,0.001491146
137,7/27/2017,-0.744680869,-0.770723573,0.547383652,0.656780326,0.279297667,0.039882436,0.512243922,0.241546287,-0.000373343,0.000373343
138,7/28/2017,-0.682845337,-0.649942541,-0.756305561,-0.764652561,-0.665867036,-0.682143343,-0.106546349,-0.491311672,0.002464986,0.002464986
139,7/31/2017,-0.685166802,-0.608513045,-0.567893381,-0.549784968,-0.321886994,-0.280786363,-0.268743852,-0.21819239,-0.000596103,0.000596103
140,8/1/2017,-0.056915155,-0.059036162,-0.015637138,0.016430832,0.121853783,0.064185229,-0.051662137,-0.05380783,0.01528425,0.01528425
141,8/2/2017,-0.126325111,-0.168324675,-0.169807421,-0.14785863,0.147052698,0.15022103,0.414723126,0.349895547,0.001835873,0.001835873
142,8/3/2017,0.757794786,0.724879707,0.784362102,0.751456146,0.804162142,0.723757611,0.295551237,0.055584382,-0.014293568,0.014293568
143,8/4/2017,-0.040852662,0.01398736,-0.065236537,-0.175068637,-0.404933286,-0.266309488,-0.347108509,-0.306863046,-0.00706451,0.00706451
144,8/7/2017,-0.797772222,-0.814711753,0.13869765,0.009233419,-0.520590061,-0.137686879,-0.545602896,-0.537036312,0.002621232,0.002621232
145,8/8/2017,0.261893802,0.315902786,-0.250536212,-0.250804388,-0.325331457,-0.260535318,-0.294664599,-0.171237593,0.001493931,0.001493931
146,8/9/2017,0.441709973,0.442691859,0.305070318,0.205425345,0.07817635,0.03225131,0.21248135,0.234767396,-0.006339735,0.006339735
147,8/10/2017,0.413300279,0.431507211,0.672526051,0.682011349,0.483956993,0.58686501,0.738507615,0.775330702,-0.003940702,0.003940702
148,8/11/2017,-0.274270633,0.192254894,-0.929865482,-0.898129865,-0.910926789,-0.91930514,-0.933775733,-0.931979992,-0.016013564,0.016013564
149,8/14/2017,-0.734577958,-0.838088461,-0.838948562,-0.886853809,-0.6776577,-0.592878188,-0.535313942,-0.554148776,0.008615738,0.008615738
150,8/15/2017,0.493501704,0.437079635,-0.124180801,-0.143738641,0.515560721,0.557551721,0.423606952,0.529665136,0.006264237,0.006264237
151,8/16/2017,0.081259563,0.094347989,0.221335759,0.245342881,0.005015324,-0.077590044,0.320580059,0.298102847,-0.00415016,0.00415016
152,8/17/2017,0.108755324,-0.011734018,0.544904028,0.38404159,0.571161038,0.592971229,0.500303941,0.478521018,0.004546316,0.004546316
153,8/18/2017,-0.887756392,-0.87708345,-0.922898108,-0.936799163,0.072882033,0.583820179,0.507910384,0.228094154,0.00452574,0.00452574
154,8/21/2017,0.301685998,0.623073299,0.750259709,0.707403446,0.780964742,0.780836692,0.691805083,0.826574221,-0.000375446,0.000375446
155,8/22/2017,0.233490555,0.479106939,-0.92354169,-0.924407412,-0.90829237,-0.901024424,-0.865024521,-0.853507058,0.010516432,0.010516432
156,8/23/2017,0.15025583,0.100348622,0.517693554,0.589314572,0.753849565,0.787695001,0.82229232,0.840945407,0.006318528,0.006318528
157,8/24/2017,0.781664038,0.845970722,0.131692396,0.002802942,0.037631821,0.271324236,0.625658565,0.667704864,-0.0033241,0.0033241
158,8/25/2017,0.761556667,0.806750239,0.51828436,0.836874328,0.947230562,0.968861768,0.939751574,0.935618912,0.021493422,0.021493422
159,8/28/2017,0.739426163,0.907908816,0.391681768,0.778006313,0.874200279,0.888281695,0.826725799,0.830724637,0.011246145,0.011246145
160,8/29/2017,-0.267247058,-0.323637249,-0.007988103,-0.142458475,-0.208434656,-0.126240734,-0.118995687,-0.172441897,0.000358744,0.000358744
161,8/30/2017,0.383321317,0.538064762,0.75824396,0.823322154,0.754488277,0.802874566,0.767055673,0.823779144,-0.00502062,0.00502062
162,8/31/2017,-0.32904871,-0.266007363,-0.046332907,-0.076200041,0.306772359,0.240902873,0.234070057,0.380833368,-0.003243828,0.003243828
