,date,start_price,close_price
0,2017-01-03,2.2865,2.3065
1,2017-01-04,2.3055,2.3245
2,2017-01-05,2.3225,2.3215
3,2017-01-06,2.3225,2.3135
4,2017-01-09,2.3105,2.3195
5,2017-01-10,2.3165,2.3125
6,2017-01-11,2.3145,2.3035
7,2017-01-12,2.3005,2.2955
8,2017-01-13,2.297,2.3105
9,2017-01-16,2.3065,2.3385
10,2017-01-17,2.3275,2.3285
11,2017-01-18,2.3295,2.3445
12,2017-01-19,2.3385,2.3345
13,2017-01-20,2.3355,2.3495
14,2017-01-23,2.3535,2.3485
15,2017-01-24,2.3485,2.3535
16,2017-01-25,2.349,2.3684
17,2017-01-26,2.3605,2.3665
18,2017-02-03,2.3675,2.3415
19,2017-02-06,2.3475,2.3425
20,2017-02-07,2.3425,2.3355
21,2017-02-08,2.334,2.3485
22,2017-02-09,2.3445,2.3545
23,2017-02-10,2.3595,2.3665
24,2017-02-13,2.3705,2.3775
25,2017-02-14,2.3785,2.3695
26,2017-02-15,2.3725,2.3695
27,2017-02-16,2.3715,2.3725
28,2017-02-17,2.3765,2.3615
29,2017-02-20,2.3635,2.3955
30,2017-02-21,2.3945,2.3925
31,2017-02-22,2.3935,2.396
32,2017-02-23,2.3951,2.3865
33,2017-02-24,2.3835,2.3855
34,2017-02-27,2.3815,2.3675
35,2017-02-28,0.004,2.3685
36,2017-03-01,2.369,2.3675
37,2017-03-02,2.3755,2.3535
38,2017-03-03,2.347,2.3435
39,2017-03-06,2.3435,2.3485
40,2017-03-07,2.3485,2.3535
41,2017-03-08,2.3495,2.3555
42,2017-03-09,2.3505,2.3435
43,2017-03-10,2.3405,2.3355
44,2017-03-13,2.3345,2.3555
45,2017-03-14,2.3535,2.3505
46,2017-03-15,2.3475,2.3535
47,2017-03-16,2.3665,2.3695
48,2017-03-17,2.3705,2.3425
49,2017-03-20,2.3505,2.3465
50,2017-03-21,2.3485,2.3535
51,2017-03-22,2.3405,2.3355
52,2017-03-23,2.3378,2.3435
53,2017-03-24,2.3455,2.3645
54,2017-03-27,2.3625,2.3595
55,2017-03-28,2.3655,2.3535
56,2017-03-29,2.3585,2.3535
57,2017-03-30,2.3505,2.3435
58,2017-03-31,2.3425,2.3555
59,2017-04-05,2.3745,2.3825
60,2017-04-06,2.3904,2.3845
61,2017-04-07,2.3855,2.3835
62,2017-04-10,2.3825,2.3775
63,2017-04-11,2.3745,2.3785
64,2017-04-12,2.3745,2.3735
65,2017-04-13,2.3695,2.3665
66,2017-04-14,2.3655,2.3495
67,2017-04-17,2.3465,2.3525
68,2017-04-18,2.3505,2.3375
69,2017-04-19,2.3325,2.322
70,2017-04-20,2.3256,2.3315
71,2017-04-21,2.3315,2.3405
72,2017-04-24,2.3415,2.335
73,2017-04-25,2.3335,2.3415
74,2017-04-26,2.342,2.3385
75,2017-04-27,2.3452,2.3435
76,2017-04-28,2.3425,2.3395
77,2017-05-02,2.3385,2.3325
78,2017-05-03,2.3315,2.3245
79,2017-05-04,2.3235,2.3185
80,2017-05-05,2.3233,2.3125
81,2017-05-08,2.3085,2.3175
82,2017-05-09,2.3125,2.3155
83,2017-05-10,2.3175,2.3205
84,2017-05-11,2.3274,2.3345
85,2017-05-12,2.332,2.3695
86,2017-05-15,2.3735,2.3735
87,2017-05-16,2.367,2.3785
88,2017-05-17,2.3813,2.3585
89,2017-05-18,2.3475,2.3485
90,2017-05-19,2.3485,2.3545
91,2017-05-22,2.3555,2.3735
92,2017-05-23,2.372,2.4055
93,2017-05-24,2.3985,2.3995
94,2017-05-25,2.3978,2.4705
95,2017-05-26,0.007,2.4655
96,2017-05-31,2.4755,2.4755
97,2017-06-01,0.007,2.4905
98,2017-06-02,2.4865,2.4705
99,2017-06-05,2.464,2.4405
100,2017-06-06,2.4395,2.4575
101,2017-06-07,2.4625,2.4805
102,2017-06-08,2.4765,2.5015
103,2017-06-09,2.502,2.5165
104,2017-06-12,2.5095,2.5145
105,2017-06-13,2.5125,2.512
106,2017-06-14,2.5085,2.4825
107,2017-06-15,2.4765,2.4645
108,2017-06-16,2.4655,2.459
109,2017-06-19,2.4635,2.4975
110,2017-06-20,2.5015,2.482
111,2017-06-21,2.501,2.5085
112,2017-06-22,2.4975,2.5235
113,2017-06-23,2.5215,2.5415
114,2017-06-26,0.033,2.5555
115,2017-06-27,2.552,2.5635
116,2017-06-28,2.5555,2.5465
117,2017-06-29,2.547,2.563
118,2017-06-30,2.5515,2.5565
119,2017-07-03,2.5615,2.5415
120,2017-07-04,2.5369,2.5195
121,2017-07-05,2.5148,2.5645
122,2017-07-06,2.5605,2.5655
123,2017-07-07,2.5684,2.5615
124,2017-07-10,2.5585,2.5755
125,2017-07-11,2.5757,2.6045
126,2017-07-12,2.604,2.5965
127,2017-07-13,2.603,2.6375
128,2017-07-14,0.039,2.6655
129,2017-07-17,2.6705,2.6675
130,2017-07-18,2.6575,2.6575
131,2017-07-19,2.6615,2.7025
132,2017-07-20,0.046,2.7105
133,2017-07-21,2.701,2.681
134,2017-07-24,2.676,2.7005
135,2017-07-25,2.7005,2.6825
136,2017-07-26,2.6945,2.6785
137,2017-07-27,2.6792,2.6775
138,2017-07-28,2.6725,2.6841
139,2017-07-31,2.6815,2.6825
140,2017-08-01,2.6954,2.7235
141,2017-08-02,2.7245,2.7285
142,2017-08-03,2.7387,2.6895
143,2017-08-04,2.6895,2.6705
144,2017-08-07,2.6811,2.6775
145,2017-08-08,2.678,2.6815
146,2017-08-09,2.677,2.6645
147,2017-08-10,2.6635,2.654
148,2017-08-11,2.6375,2.6115
149,2017-08-14,2.6199,2.634
150,2017-08-15,2.6365,2.6505
151,2017-08-16,2.6485,2.6395
152,2017-08-17,2.6465,2.6515
153,2017-08-18,2.645,2.6635
154,2017-08-21,2.6675,2.6625
155,2017-08-22,2.6695,2.6905
156,2017-08-23,2.6875,2.7075
157,2017-08-24,2.712,2.6985
158,2017-08-25,2.6955,2.7565
159,2017-08-28,0.051,2.7875
160,2017-08-29,0.051,2.7885
161,2017-08-30,2.7905,2.7745
162,2017-08-31,2.779,2.7655
163,2017-09-01,2.7695,2.7595
164,2017-09-04,2.7555,2.7635
165,2017-09-05,2.7655,2.7815
166,2017-09-06,2.786,2.7645
167,2017-09-07,2.7665,2.7425
168,2017-09-08,2.7455,2.7375
169,2017-09-11,2.7455,2.7305
170,2017-09-12,2.7365,2.7455
171,2017-09-13,2.7435,2.7385
172,2017-09-14,2.7503,2.7225
173,2017-09-15,2.7185,2.7225
174,2017-09-18,2.7265,2.7295
175,2017-09-19,2.733,2.7195
176,2017-09-20,2.717,2.7165
177,2017-09-21,2.7165,2.728
178,2017-09-22,2.7195,2.7295
179,2017-09-25,2.7235,2.7285
180,2017-09-26,2.7265,2.7305
181,2017-09-27,2.7285,2.7105
182,2017-09-28,0.047,2.7155
183,2017-09-29,2.7175,2.7265
184,2017-10-09,2.7407,2.7495
185,2017-10-10,2.7485,2.7455
186,2017-10-11,2.7465,2.7615
187,2017-10-12,2.7605,2.7735
188,2017-10-13,2.7705,2.7705
189,2017-10-16,2.7735,2.7815
190,2017-10-17,0.058,2.7795
191,2017-10-18,2.7805,2.8015
192,2017-10-19,2.7995,2.8055
193,2017-10-20,2.7975,2.7905
194,2017-10-23,2.7955,2.7905
195,2017-10-24,2.787,2.8065
196,2017-10-25,2.8035,2.8025
197,2017-10-26,0.055,2.8275
198,2017-10-27,2.8275,2.8725
199,2017-10-30,2.8695,2.8605
200,2017-10-31,2.849,2.8505
201,2017-11-01,2.8525,2.8415
202,2017-11-02,2.8405,2.8465
203,2017-11-03,2.8425,2.8515
204,2017-11-06,2.848,2.8435
205,2017-11-07,2.8455,2.8755
206,2017-11-08,2.8755,2.8735
207,2017-11-09,2.869,2.8855
208,2017-11-10,2.8805,2.9185
209,2017-11-13,2.9235,2.9285
210,2017-11-14,0.055,2.9125
211,2017-11-15,2.903,2.9005
212,2017-11-16,2.8945,2.9315
213,2017-11-17,2.9245,2.988
214,2017-11-20,0.051,2.9955
215,2017-11-21,2.9845,3.0465
216,2017-11-22,3.0595,3.0665
217,2017-11-23,3.0657,2.9915
218,2017-11-24,0.051,2.9905
219,2017-11-27,2.987,2.967
220,2017-11-28,0.005,2.8955
221,2017-11-29,2.9045,2.8905
222,2017-11-30,2.878,2.8555
223,2017-12-01,0.005,2.8385
224,2017-12-04,2.8265,2.8575
225,2017-12-05,2.8585,2.9055
226,2017-12-06,2.8995,2.8685
227,2017-12-07,2.8675,2.8435
228,2017-12-08,2.842,2.8645
229,2017-12-11,2.8665,2.8985
230,2017-12-12,2.8955,2.8465
231,2017-12-13,2.8495,2.8705
232,2017-12-14,2.8745,2.8505
233,2017-12-15,2.8425,2.8165
234,2017-12-18,0.002,2.8275
235,2017-12-19,2.8305,2.8695
236,2017-12-20,2.8715,2.8755
237,2017-12-21,2.8695,2.8925
238,2017-12-22,2.8905,2.8775
239,2017-12-25,2.8785,2.876
240,2017-12-26,2.8775,2.8925
241,2017-12-27,2.8875,2.8335
242,2017-12-28,-0.007,2.8555
243,2017-12-29,2.859,2.8575
244,2018-01-02,-0.007,2.9075
245,2018-01-03,-0.003,2.9115
246,2018-01-04,-0.003,2.9195
247,2018-01-05,2.919,2.9325
248,2018-01-08,2.9398,2.9435
249,2018-01-09,2.943,2.9695
250,2018-01-10,2.9675,2.9935
251,2018-01-11,2.9969,2.9915
252,2018-01-12,2.9925,3.0185
253,2018-01-15,3.0235,3.0425
254,2018-01-16,3.0365,3.0645
255,2018-01-17,3.0706,3.0715
256,2018-01-18,3.0985,3.1075
257,2018-01-19,3.1215,3.1135
258,2018-01-22,3.106,3.1305
259,2018-01-23,3.1455,3.1725
260,2018-01-24,3.1826,3.1715
261,2018-01-25,3.1701,3.1505
262,2018-01-26,3.1455,3.1715
263,2018-01-29,3.183,3.1145
264,2018-01-30,3.1324,3.0745
265,2018-01-31,3.0655,3.1125
266,2018-02-01,3.1145,3.1345
267,2018-02-02,3.1095,3.1455
268,2018-02-05,3.1005,3.1805
269,2018-02-06,3.1494,3.1085
270,2018-02-07,3.16,3.0215
271,2018-02-08,3.0263,2.9375
272,2018-02-09,2.8849,2.8025
273,2018-02-12,2.7866,2.7995
274,2018-02-13,2.8285,2.8475
275,2018-02-14,2.857,2.8655
276,2018-02-22,2.911,2.9245
277,2018-02-23,2.9335,2.9555
278,2018-02-26,2.9695,2.9655
279,2018-02-27,2.9735,2.9175
280,2018-02-28,2.8975,2.8705
281,2018-03-01,2.8743,2.8835
282,2018-03-02,2.8918,2.8555
283,2018-03-05,2.8585,2.8545
284,2018-03-06,2.8755,2.8885
285,2018-03-07,2.8875,2.8695
286,2018-03-08,2.8735,2.8935
287,2018-03-09,2.9005,2.9035
288,2018-03-12,2.938,2.9055
289,2018-03-13,2.9055,2.8725
290,2018-03-14,2.855,2.8625
291,2018-03-15,2.8555,2.8905
292,2018-03-16,2.8905,2.8625
293,2018-03-19,2.864,2.8925
294,2018-03-20,2.888,2.8945
295,2018-03-21,2.909,2.8845
296,2018-03-22,2.8855,2.8565
297,2018-03-23,2.7795,2.7805
298,2018-03-26,2.7345,2.7325
299,2018-03-27,2.7285,2.7375
300,2018-03-28,2.7095,2.6865
301,2018-03-29,2.6692,2.7325
302,2018-03-30,2.7306,2.7145
303,2018-04-02,2.711,2.7015
304,2018-04-03,2.6825,2.6915
305,2018-04-04,2.7025,2.6955
306,2018-04-09,2.6985,2.7085
307,2018-04-10,2.7135,2.7735
308,2018-04-11,2.7804,2.7755
309,2018-04-12,2.7755,2.7425
310,2018-04-13,2.7555,2.7195
311,2018-04-16,2.7075,2.6585
312,2018-04-17,2.6623,2.628
313,2018-04-18,2.6585,2.6435
314,2018-04-19,2.6525,2.6745
315,2018-04-23,2.6375,2.6565
316,2018-04-24,2.6625,2.7175
317,2018-04-25,2.7025,2.6935
318,2018-04-26,2.6959,2.6545
319,2018-04-27,2.6667,2.6425
320,2018-05-02,2.6515,2.6455
321,2018-05-03,2.6385,2.6535
322,2018-05-04,2.649,2.6335
323,2018-05-07,2.6425,2.6745
324,2018-05-08,2.6755,2.7145
325,2018-05-09,2.7115,2.711
326,2018-05-10,2.7155,2.7235
