,date,vega,vega1,vega2,vega3,vega4
0,20180102,-52329.00874865,-667.4991826000003,2058.690499999999,-25606.74131675,-28113.4587493
1,20180103,-50541.2714597,-273.34993885000034,670.1600000000053,-23763.34688755,-27174.734633300002
2,20180104,-49439.89833425,701.588684249999,933.8726000000042,-21129.475520600005,-29945.8840979
3,20180105,-48358.99833565,987.4846050999965,-382.4258000000009,-19136.0856476,-29827.97149315
4,20180108,-50646.43606205,-268.83803640000207,-1756.6082000000015,-19024.35408505,-29596.6357406
5,20180109,-46827.08183790001,2241.459150249999,-1190.6902400000035,-16795.173199050012,-31082.677549099993
6,20180110,-47641.934923500005,-1156.2442488000017,441.31409000000167,-16581.8348756,-30345.1698891
7,20180111,-47170.0351293,-2237.06047555,2405.563489999997,-17377.549127000002,-29960.989016749998
8,20180112,-41815.843825940006,1077.448828359998,2230.294039999999,-17169.900094300003,-27953.6866
9,20180115,-63650.396390609996,586.0897304399998,-578.4166999999975,-27636.8615206,-36021.20790045
10,20180116,-65204.12646806,866.5831187400004,295.95809999999994,-30190.8583722,-36175.8093146
11,20180117,-79311.42059051001,-860.1693523599988,-121.01773999999762,-34745.6032475,-43584.63025065001
12,20180118,-84620.11013027499,680.688170774999,1212.0341000000026,-35992.468168299994,-50520.36423275
13,20180119,-85591.91128742498,-2114.5314626250015,36.516080000000024,-35289.02567029999,-48224.87023449999
14,20180122,-82460.316755582,-612.6315087320002,447.3226500000034,-35449.647050499996,-46845.360846350006
15,20180123,-69099.25875106841,-899.8899098184,1198.17931,-27379.475265950008,-42018.0728853
16,20180124,-91613.35971205,3.388562785e-15,-479.3084299999971,-37901.0748728,-53232.976409250005
17,20180125,-81637.303837,278.38603999999987,-36839.3806859,-45076.309191099994,0.0
18,20180126,-78934.94951894999,1758.9724399999996,-29580.5754996,-43749.017259349996,-7364.3292
19,20180129,-85164.60616355,-889.2997900000008,-34803.89561465,-40041.038658900005,-9430.3721
20,20180130,-78432.96556250002,-231.35751000000081,-30023.241164900006,-39173.8940876,-9004.4728
21,20180131,-76617.86683434999,1446.8235300000028,-28856.106547499996,-38392.94141685,-10815.6424
22,20180201,-77045.5719749,1990.6829199999943,-30458.63000475,-37661.16289015,-10916.462000000001
23,20180202,-76107.67781539999,3180.4146699999997,-28062.963264899994,-38320.5049205,-12904.6243
24,20180205,-80026.36929035,2817.82447,-31845.88938705,-37142.763573300006,-13855.540800000002
25,20180206,-92162.33497240001,2113.5440900000012,-41466.97379175,-35616.91187065,-17191.993400000003
26,20180207,-79100.18340880002,2362.0359900000003,-41222.32562090001,-30961.200877900003,-9278.692900000002
27,20180208,-68364.49472935,3435.451039999999,-35360.98756469999,-27760.046304649997,-8678.911900000001
28,20180209,-26836.081897800006,2284.6831249999996,-11025.023713000006,-14679.857809800002,-3415.8835
29,20180212,-9888.017820500001,741.8985000000009,-5163.995817950002,-3893.2739025499986,-1572.646600000001
30,20180213,-6985.438412599998,2148.219380000001,-2152.2095648999984,-3620.197527699999,-3361.2507000000014
31,20180214,-9441.0095767,2133.2590499999997,-4790.954907900001,-3259.6806187999987,-3523.633100000001
32,20180222,-12372.991517700004,1805.8390200000001,-6567.878530000002,-3756.529307700003,-3854.4227
33,20180223,-14969.331199949998,2039.83791,-9045.79703605,-4051.2767738999983,-3912.095299999999
34,20180226,-20808.299639999997,95.68097600000063,-11036.705767750002,-5994.726048249998,-3872.5488000000014
35,20180227,-19250.313919248278,190.6818238017225,-11134.3177631,-5005.0535799499985,-3301.6244000000006
36,20180228,-16875.315206249998,0.0,-5895.379327699997,-8242.581378550001,-2737.354500000001
37,20180301,-14730.576798369997,-5707.513631819998,0.0,-6356.352466549999,-2666.7106999999996
38,20180302,-9484.528497655001,-2098.729923355001,0.0,-5017.3344743,-2368.4641
39,20180305,-4673.883783184992,-2434.6080194849974,0.0,-115.90356369999463,-2123.3722
40,20180306,-5877.345117079991,-3478.1455804799984,342.8426000000002,-1382.5624365999927,-1359.4797000000003
41,20180307,-92.48553579999293,989.5609547499985,366.68630000000087,-257.98389054999257,-1190.7488999999996
42,20180308,-2914.750348834996,1166.9095862150016,329.1088,-3042.5315350499977,-1368.2372
43,20180309,-1059.1033202950064,155.83975265499788,477.0317,-217.31927295000213,-1474.6555000000021
44,20180312,-9819.849864599993,-2951.2875562,-3013.5084,-2115.240008399994,-1739.8138999999996
45,20180313,-3714.182520539988,1736.869356010003,-2862.7642,-1301.1892765499913,-1287.0983999999999
46,20180314,-3564.0802726150155,1911.8239758349994,-2480.3739,-1868.9877484500155,-1126.5425999999993
47,20180315,-3907.113126355005,439.7295386449992,-2109.6427000000012,-825.5719650000024,-1411.6280000000004
48,20180316,-4210.690268714998,1275.3528547349993,-3297.7018,-1250.2412234499989,-938.1000999999987
49,20180319,-7512.519662675,-186.28419527500066,-2064.4347000000002,-1906.0864673999995,-3355.7143
50,20180320,-6049.928174324406,-1275.0632269244002,-836.5960000000002,-1206.7861474000074,-2731.4827999999993
51,20180321,-3908.7593747149967,628.5222390350002,370.4917,-2169.8774137499977,-2737.895899999999
52,20180322,-13412.040770773006,445.10548487699987,-3544.1505000000006,-3864.4842556500053,-6448.5115000000005
53,20180323,-13537.483300474998,-4040.8140688250005,-3407.5723000000003,-3525.145331649997,-2563.9516
54,20180326,-9516.889841414686,503.4910258853151,-4109.7468,-4180.8602673000005,-1729.7738
55,20180327,-6451.642597767997,-182.373860418,-2177.261500000001,-2683.7622373499953,-1408.2450000000013
56,20180328,-6062.0587350999995,0.0,-2677.3550000000005,-2484.7320351,-899.9716999999996
57,20180329,-7602.332300599998,-2339.2646999999997,0.0,-4079.8611005999974,-1183.2065000000011
58,20180330,-7112.606637999985,-1957.4182999999987,0.0,-4060.6730379999863,-1094.5153000000003
59,20180402,-6689.4596805500005,-1796.8219000000006,0.0,-3899.6645805499993,-992.9732
60,20180403,-6042.547447549999,-1415.12052,0.0,-3839.0532275499986,-788.3736999999998
61,20180404,-5884.767634749987,-1359.7535199999993,0.0,-3838.5231147499894,-686.4909999999979
62,20180409,-5809.566473750005,-1245.6477599999998,0.0,-3880.1286137500047,-683.7900999999997
63,20180410,-5059.361699450001,358.7326399999994,0.0,-4194.5460394500005,-1223.548299999999
64,20180411,-5179.321787199999,370.9629399999999,0.0,-4173.280627199999,-1377.0041
65,20180412,-4872.322294699995,169.3586399999998,0.0,-4074.044934699995,-967.6360000000002
66,20180413,-4842.427708849998,-154.25107999999977,0.0,-3960.1680288499992,-728.0085999999997
67,20180416,-3971.9670206500004,-265.34141999999997,0.0,-3374.820000650001,-331.80559999999986
68,20180417,-3060.3721673000014,-58.901710000000094,0.0,-3015.1984573000013,13.727999999999952
69,20180418,-3609.814725600001,-314.08187,0.0,-3185.278555600001,-110.45430000000039
70,20180419,-4658.9190002500045,-916.1861296,0.0,-3561.781170650005,-180.95169999999956
71,20180420,-4239.941655540005,-511.92057824,0.0,-2476.686677300005,-1251.3343999999997
72,20180423,-3760.2653309400025,-457.6339792399999,0.0,-2140.4271517000025,-1162.2042000000001
73,20180424,-5403.190043892685,8.476205807310002,0.0,-3638.9615496999954,-1772.7046999999998
74,20180425,-4748.199348499996,4.101394e-30,0.0,-3234.530348499996,-1513.6689999999999
75,20180426,-3216.449549849995,0.0,-2112.8918498499957,-1103.5576999999994,0.0
76,20180427,-2607.6201843499985,0.0,-1682.875984349998,-924.7442000000005,0.0
77,20180502,-2711.388985250005,0.0,-1769.4483852500043,-941.9406000000008,0.0
78,20180503,-2964.9760102999953,0.0,-1875.9557102999968,-1089.0202999999988,0.0
79,20180504,-2165.4372209500007,0.0,-1218.2619209500012,-947.1752999999994,0.0
80,20180507,-4154.841626599999,0.0,-3079.510826599999,-1075.3307999999997,0.0
81,20180508,-8020.896818150002,0.0,-2854.9269181500017,-5165.9699,0.0
82,20180509,-2406.0037727549966,89.56299999999999,-1609.6050727549966,-885.9616999999997,0.0
83,20180510,-4011.5987535149966,-1434.7520000000002,-2358.3611535149967,-218.48559999999964,0.0
84,20180511,-5258.890685694997,-2035.0417500000003,-3232.5865356949967,8.737599999999716,0.0
85,20180514,-4196.729487435001,-1189.73387,-3390.1471174350013,383.15150000000034,0.0
86,20180515,-2964.770296430009,-768.3869299999992,-3119.8453664300096,923.462,0.0
87,20180516,-8005.571881304998,-606.7603000000001,-3566.4709813049985,137.9611000000009,-3970.3017000000004
88,20180517,-8733.90002347,-442.2415000000001,-3312.0434234699997,-198.79149999999942,-4780.8236
89,20180518,-1735.7572128249997,-776.1619800000002,-204.6894328250006,-359.01489999999905,-395.8908999999999
90,20180521,-3977.552526924996,-685.04997,2.9986430750049067,-1154.521400000001,-2140.9798
91,20180522,-1639.193641804994,-265.5678365,-652.521005304995,600.4554000000012,-1321.5602000000001
92,20180523,-8347.960697410002,0.0,-51.032297410002116,-1863.1602999999993,-6433.7681
93,20180524,-4568.532244177495,641.5296558225059,0.0,-1282.174300000001,-3927.8876
94,20180525,-8111.296038849996,-275.44473884999854,-448.3719000000003,-4619.868599999998,-2767.6108
95,20180528,-3478.449009305001,-208.6294093049977,-1805.9855999999997,-976.2480000000019,-487.5860000000014
96,20180529,-2637.5750325049985,909.1528674950008,-1223.0827000000006,-1864.7140999999992,-458.9310999999991
97,20180530,-6367.929770959996,1888.7459290400031,-2460.8909,-3041.492199999999,-2754.2926000000007
98,20180531,-2939.815100210001,-790.0974002099996,-886.0155000000002,-818.8887000000013,-444.8135
99,20180601,-2138.782756224995,-237.10715622499777,-898.1468999999998,-587.8616999999977,-415.6669999999997
